Epoch [128/250], Train Loss: 1.2937, Val Loss: 11.6093, Test Loss: 12.2590
Epoch [129/250], Train Loss: 1.3863, Val Loss: 6.3658, Test Loss: 6.8051
Epoch [130/250], Train Loss: 1.3779, Val Loss: 12.8684, Test Loss: 13.7533
Epoch [131/250], Train Loss: 1.3044, Val Loss: 8.7126, Test Loss: 9.3155
Epoch [132/250], Train Loss: 19.8408, Val Loss: 129.1807, Test Loss: 101.2133
Epoch [133/250], Train Loss: 11.5269, Val Loss: 13.7161, Test Loss: 14.4171
Epoch [134/250], Train Loss: 2.4235, Val Loss: 3.5111, Test Loss: 3.8801
Epoch [135/250], Train Loss: 2.3556, Val Loss: 33.1339, Test Loss: 34.4921
Epoch [136/250], Train Loss: 2.1199, Val Loss: 2.9143, Test Loss: 3.1981
Epoch [137/250], Train Loss: 9.9375, Val Loss: 2.2699, Test Loss: 2.5878
Epoch [138/250], Train Loss: 1.4408, Val Loss: 2.3218, Test Loss: 2.6306
Epoch [139/250], Train Loss: 1.9904, Val Loss: 7.7059, Test Loss: 8.2355
Epoch [140/250], Train Loss: 1.7730, Val Loss: 2.5135, Test Loss: 2.8332
Epoch [141/250], Train Loss: 1.3915, Val Loss: 7.7022, Test Loss: 8.3459
Epoch [142/250], Train Loss: 1.3363, Val Loss: 2.6013, Test Loss: 2.9124
Epoch [143/250], Train Loss: 1.2679, Val Loss: 9.8799, Test Loss: 10.5106
Epoch [144/250], Train Loss: 1.4019, Val Loss: 1.8620, Test Loss: 2.0473
Epoch [145/250], Train Loss: 5.1817, Val Loss: 1.3044, Test Loss: 1.5194
Epoch [146/250], Train Loss: 18.7922, Val Loss: 8.1122, Test Loss: 8.6945
Epoch [147/250], Train Loss: 1.6266, Val Loss: 2.7419, Test Loss: 3.0593
Epoch [148/250], Train Loss: 1.5146, Val Loss: 20.2745, Test Loss: 21.3354
Epoch [149/250], Train Loss: 1.2165, Val Loss: 7.8523, Test Loss: 8.3806
Epoch [150/250], Train Loss: 26.0351, Val Loss: 17.5215, Test Loss: 17.8201
Epoch [151/250], Train Loss: 13.8451, Val Loss: 2.5948, Test Loss: 2.8315
Epoch [152/250], Train Loss: 5.5602, Val Loss: 4.0098, Test Loss: 4.3591
Epoch [153/250], Train Loss: 1.3429, Val Loss: 3.1206, Test Loss: 3.4158
Epoch [154/250], Train Loss: 1.1881, Val Loss: 4.5581, Test Loss: 4.9411
Epoch [155/250], Train Loss: 1.2891, Val Loss: 4.1655, Test Loss: 4.5374
Epoch [156/250], Train Loss: 1.4863, Val Loss: 5.4903, Test Loss: 5.8649
Epoch [157/250], Train Loss: 11.4375, Val Loss: 8.2760, Test Loss: 8.7839
Epoch [158/250], Train Loss: 1.5169, Val Loss: 3.4037, Test Loss: 3.7163
Epoch [159/250], Train Loss: 1.2890, Val Loss: 15.2030, Test Loss: 15.7203
Epoch [160/250], Train Loss: 1.4291, Val Loss: 36.0946, Test Loss: 38.0633
Epoch [161/250], Train Loss: 1.6418, Val Loss: 3.7108, Test Loss: 4.0564
Epoch [162/250], Train Loss: 1.5619, Val Loss: 15.6710, Test Loss: 16.7827
Epoch [163/250], Train Loss: 16.5405, Val Loss: 4.1155, Test Loss: 4.4643
Epoch [164/250], Train Loss: 8.9137, Val Loss: 5.0855, Test Loss: 5.5670
Epoch [165/250], Train Loss: 12.6136, Val Loss: 4.7528, Test Loss: 5.1000
Epoch [166/250], Train Loss: 2.4919, Val Loss: 2.9329, Test Loss: 3.2085
Epoch [167/250], Train Loss: 1.5854, Val Loss: 7.7224, Test Loss: 8.2151
Epoch [168/250], Train Loss: 16.5904, Val Loss: 11.3004, Test Loss: 11.8530
Epoch [169/250], Train Loss: 10.7595, Val Loss: 3.0464, Test Loss: 3.3037
Epoch [170/250], Train Loss: 12.9494, Val Loss: 8.8729, Test Loss: 9.7297
Epoch [171/250], Train Loss: 1.5978, Val Loss: 25.5712, Test Loss: 26.9167
Epoch [172/250], Train Loss: 1.3606, Val Loss: 7.2399, Test Loss: 7.8631
Epoch [173/250], Train Loss: 1.2280, Val Loss: 5.9639, Test Loss: 6.5107
Epoch [174/250], Train Loss: 1.1396, Val Loss: 8.8794, Test Loss: 9.4904
Epoch [175/250], Train Loss: 1.1367, Val Loss: 16.0520, Test Loss: 16.9463
Epoch [176/250], Train Loss: 1.3263, Val Loss: 8.6519, Test Loss: 9.3597
Epoch [177/250], Train Loss: 1.1044, Val Loss: 2.3548, Test Loss: 2.6634
Epoch [178/250], Train Loss: 1.2049, Val Loss: 2.9571, Test Loss: 3.2865
Epoch [179/250], Train Loss: 1.2327, Val Loss: 4.9400, Test Loss: 5.3324
Epoch [180/250], Train Loss: 1.2227, Val Loss: 4.8820, Test Loss: 5.3304
Epoch [181/250], Train Loss: 1.6042, Val Loss: 28.0542, Test Loss: 29.0207
Epoch [182/250], Train Loss: 1.8811, Val Loss: 2.5345, Test Loss: 2.7633
Epoch [183/250], Train Loss: 1.5727, Val Loss: 1.5731, Test Loss: 1.7763
Epoch [184/250], Train Loss: 23.1765, Val Loss: 9.9310, Test Loss: 9.1765
Epoch [185/250], Train Loss: 3.4740, Val Loss: 5.7626, Test Loss: 5.9305
Epoch [186/250], Train Loss: 3.5333, Val Loss: 5.6316, Test Loss: 6.1795
Epoch [187/250], Train Loss: 1.6417, Val Loss: 19.2639, Test Loss: 20.2262
Epoch [188/250], Train Loss: 14.3634, Val Loss: 8.7226, Test Loss: 9.3836
Epoch [189/250], Train Loss: 1.4925, Val Loss: 4.8551, Test Loss: 5.3648
Epoch [190/250], Train Loss: 1.3727, Val Loss: 19.6376, Test Loss: 20.6715
Epoch [191/250], Train Loss: 2.3755, Val Loss: 3.1965, Test Loss: 3.5119
Epoch [192/250], Train Loss: 1.1325, Val Loss: 1.9545, Test Loss: 2.2302
Epoch [193/250], Train Loss: 1.2188, Val Loss: 9.2066, Test Loss: 9.9282
Epoch [194/250], Train Loss: 24.3578, Val Loss: 13.0544, Test Loss: 14.4772
Epoch [195/250], Train Loss: 22.1882, Val Loss: 5.2482, Test Loss: 5.6853
Epoch [196/250], Train Loss: 8.6581, Val Loss: 6.9632, Test Loss: 7.5974
Epoch [197/250], Train Loss: 15.9331, Val Loss: 4.5694, Test Loss: 5.0188
Epoch [198/250], Train Loss: 1.8545, Val Loss: 6.5721, Test Loss: 7.0570
Epoch [199/250], Train Loss: 9.9726, Val Loss: 13.5288, Test Loss: 14.2683
Epoch [200/250], Train Loss: 1.3440, Val Loss: 10.6755, Test Loss: 11.2211
Epoch [201/250], Train Loss: 4.1931, Val Loss: 7.1889, Test Loss: 7.5964
Epoch [202/250], Train Loss: 1.1121, Val Loss: 2.9134, Test Loss: 3.1783
Epoch [203/250], Train Loss: 1.0662, Val Loss: 2.9297, Test Loss: 3.2202
Epoch [204/250], Train Loss: 2.8694, Val Loss: 91.9702, Test Loss: 94.7322
Epoch [205/250], Train Loss: 1.4011, Val Loss: 2.6030, Test Loss: 2.8561
Epoch [206/250], Train Loss: 1.2148, Val Loss: 6.6656, Test Loss: 7.1306
Epoch [207/250], Train Loss: 1.0781, Val Loss: 7.3805, Test Loss: 7.8173
Epoch [208/250], Train Loss: 3.1962, Val Loss: 34.9278, Test Loss: 26.2579
Epoch [209/250], Train Loss: 22.5062, Val Loss: 4.4356, Test Loss: 4.6700
Epoch [210/250], Train Loss: 4.0281, Val Loss: 2.5159, Test Loss: 2.8631
Epoch [211/250], Train Loss: 1.3084, Val Loss: 5.9568, Test Loss: 6.4555
Epoch [212/250], Train Loss: 1.1224, Val Loss: 7.1657, Test Loss: 7.7482
Epoch [213/250], Train Loss: 1.0656, Val Loss: 14.5082, Test Loss: 15.3440
Epoch [214/250], Train Loss: 1.4692, Val Loss: 32.8321, Test Loss: 34.3634
Epoch [215/250], Train Loss: 1.1733, Val Loss: 4.4422, Test Loss: 4.8122
Epoch [216/250], Train Loss: 17.3341, Val Loss: 2.4716, Test Loss: 2.6436
Epoch [217/250], Train Loss: 3.0037, Val Loss: 4.8842, Test Loss: 5.2971
Epoch [218/250], Train Loss: 1.9233, Val Loss: 21.3550, Test Loss: 22.3270
Epoch [219/250], Train Loss: 1.2019, Val Loss: 4.2164, Test Loss: 4.6016
Epoch [220/250], Train Loss: 1.1259, Val Loss: 6.5932, Test Loss: 7.0255
Epoch [221/250], Train Loss: 2.7149, Val Loss: 1.4446, Test Loss: 1.6629
Epoch [222/250], Train Loss: 1.3038, Val Loss: 10.5339, Test Loss: 11.1732
Epoch [223/250], Train Loss: 28.9520, Val Loss: 3.8094, Test Loss: 3.4261
