Epoch [149/250], Train Loss: 109.3304, Val Loss: 93.3614, Test Loss: 99.7078
Epoch [150/250], Train Loss: 47.9006, Val Loss: 140.1987, Test Loss: 141.3653
Epoch [151/250], Train Loss: 45.1230, Val Loss: 55.8748, Test Loss: 60.5691
Epoch [152/250], Train Loss: 40.9598, Val Loss: 62.7333, Test Loss: 67.9534
Epoch [153/250], Train Loss: 44.9860, Val Loss: 74.2930, Test Loss: 77.4699
Epoch [154/250], Train Loss: 50.6133, Val Loss: 104.2162, Test Loss: 106.0943
Epoch [155/250], Train Loss: 49.7632, Val Loss: 82.3741, Test Loss: 78.7864
Epoch [156/250], Train Loss: 43.9365, Val Loss: 75.1461, Test Loss: 77.7009
Epoch [157/250], Train Loss: 41.4810, Val Loss: 56.5443, Test Loss: 59.2578
Epoch [158/250], Train Loss: 47.6472, Val Loss: 70.9649, Test Loss: 74.1678
Epoch [159/250], Train Loss: 42.5004, Val Loss: 930.8177, Test Loss: 907.9826
Epoch [160/250], Train Loss: 48.7568, Val Loss: 5717.0763, Test Loss: 5491.0158
Epoch [161/250], Train Loss: 64.3453, Val Loss: 38.4049, Test Loss: 39.8255
Epoch [162/250], Train Loss: 39.4144, Val Loss: 223.9485, Test Loss: 234.5275
Epoch [163/250], Train Loss: 41.0619, Val Loss: 124.7304, Test Loss: 121.5933
Epoch [164/250], Train Loss: 50.3660, Val Loss: 71.8079, Test Loss: 74.5037
Epoch [165/250], Train Loss: 50.9347, Val Loss: 139.6353, Test Loss: 148.7262
Epoch [166/250], Train Loss: 43.4837, Val Loss: 82.6994, Test Loss: 86.1135
Epoch [167/250], Train Loss: 43.6975, Val Loss: 56.6532, Test Loss: 65.1256
Epoch [168/250], Train Loss: 44.0087, Val Loss: 70.4971, Test Loss: 75.7958
Epoch [169/250], Train Loss: 40.6718, Val Loss: 156.9193, Test Loss: 155.3328
Epoch [170/250], Train Loss: 43.9261, Val Loss: 38.5314, Test Loss: 42.7246
Epoch [171/250], Train Loss: 38.5271, Val Loss: 30.7872, Test Loss: 32.6102
Epoch [172/250], Train Loss: 63.9349, Val Loss: 3329.0549, Test Loss: 3430.8898
Epoch [173/250], Train Loss: 37.1607, Val Loss: 32.7158, Test Loss: 35.8571
Epoch [174/250], Train Loss: 38.4234, Val Loss: 109.0390, Test Loss: 110.1191
Epoch [175/250], Train Loss: 31.6058, Val Loss: 76.2732, Test Loss: 77.2282
Epoch [176/250], Train Loss: 45.0801, Val Loss: 77.5602, Test Loss: 84.2253
Epoch [177/250], Train Loss: 34.7017, Val Loss: 94.4557, Test Loss: 101.3431
Epoch [178/250], Train Loss: 36.0718, Val Loss: 71.0565, Test Loss: 70.5360
Epoch [179/250], Train Loss: 41.4243, Val Loss: 137.6607, Test Loss: 144.8169
Epoch [180/250], Train Loss: 38.4770, Val Loss: 125.2291, Test Loss: 132.0998
Epoch [181/250], Train Loss: 37.2916, Val Loss: 158.3582, Test Loss: 160.4711
Epoch [182/250], Train Loss: 42.9737, Val Loss: 41.0757, Test Loss: 43.2102
Epoch [183/250], Train Loss: 36.7074, Val Loss: 95.5927, Test Loss: 96.1326
Epoch [184/250], Train Loss: 38.9888, Val Loss: 116.0008, Test Loss: 109.9677
Epoch [185/250], Train Loss: 37.9104, Val Loss: 57.8489, Test Loss: 56.6543
Epoch [186/250], Train Loss: 32.0964, Val Loss: 210.9303, Test Loss: 215.2525
Epoch [187/250], Train Loss: 40.0371, Val Loss: 51.6892, Test Loss: 55.9985
Epoch [188/250], Train Loss: 37.7062, Val Loss: 29.0860, Test Loss: 33.0082
Epoch [189/250], Train Loss: 36.1487, Val Loss: 91.7562, Test Loss: 94.1878
Epoch [190/250], Train Loss: 36.6644, Val Loss: 20.2211, Test Loss: 23.7086
Epoch [191/250], Train Loss: 29.8263, Val Loss: 31.6619, Test Loss: 36.2614
Epoch [192/250], Train Loss: 37.5249, Val Loss: 142.7202, Test Loss: 147.4903
Epoch [193/250], Train Loss: 47.0215, Val Loss: 238.2058, Test Loss: 242.0456
Epoch [194/250], Train Loss: 43.6227, Val Loss: 42.1547, Test Loss: 45.7275
Epoch [195/250], Train Loss: 31.3172, Val Loss: 40.0646, Test Loss: 44.9615
